"Temperatur MAX","Kelembapan","Tekanan Udara","Kecepatan Angin","Curah Hujan"
"32.0","85","1001.6","7","477.8"
"32.9","84","1002.2","5","320.4"
"31.6","84","1001.9","7","328.5"
"32.8","79","1004.2","6","188.7"
"32.8","82","1004.0","6","202.4"
"32.0","81","1005.3","6","5.4"
"29.9","81","1005.6","7","6.0"
"31.4","77","1006.8","7","0.0"
"33.4","78","1008.1","6","0.0"
"34.2","78","1006.6","6","81.0"
"34.0","82","1005.3","5","205.2"
"33.3","84","1003.4","4","321.5"
"32.4","85","1003.5","5","423.8"
"32.2","86","1003.2","5","216.2"
"33.4","84","1004.8","4","161.5"
"33.6","82","1004.5","3","211.9"
"33.2","83","1004.8","3","179.9"
"32.8","85","1004.1","2","87.1"
"31.4","81","1006.0","5","29.3"
"32.0","77","1007.6","6","7.4"
"32.2","77","1001.8","6","0.0"
"33.8","82","1010.4","1","105.4"
"33.8","84","1006.4","4","204.6"
"32.6","87","1006.7","2","471.8"
"30.6","87","1010.4","3","342.6"
"30.8","85","1010.1","3","247.0"
"32.0","85","1011.2","2","101.7"
"32.1","85","1011.2","2","184.1"
"32.2","82","1011.8","1","44.1"
"31.2","84","1011.8","1","31.2"
"30.4","84","1013.8","1","53.8"
"30.5","80","1014.4","4","0.0"
"31.5","78","1014.8","5","0.0"
"33.3","77","1007.7","6","56.9"
"33.1","82","1005.6","5","249.7"
"31.7","85","1003.9","5","252.8"
"31.3","74","1004.7","7","144.0"
"31.6","87","1005.3","5","292.0"
"31.6","86","1006.1","6","338.0"
"32.1","86","1005.1","5","187.0"
"31.8","84","1007.0","5","243.0"
"30.8","84","1007.3","6","4.0"
"30.9","82","1008.5","5","4.0"
"31.1","80","1008.8","7","3.0"
"32.1","78","1009.1","8","0.0"
"33.7","78","1008.8","7","34.0"
"33.9","82","1005.8","6","315.0"
"32.5","84","1009.8","5","323.0"
"32.6","83","1006.3","3","360.0"
"31.8","88","1005.6","3","294.0"
"33.1","84","1005.7","3","158.0"
"33.0","84","1005.4","4","297.0"
"32.4","83","1005.2","3","146.0"
"32.1","84","1006.1","3","211.0"
"31.7","84","1005.9","4","65.0"
"31.6","80","1006.4","5","38.0"
"32.4","83","1006.2","4","195.0"
"32.8","84","1005.5","3","243.0"
"32.9","85","1005.0","3","504.0"
"31.3","83","1003.0","4","323.0"
"31.4","84","1009.8","4","155.0"
"31.2","85","1004.4","5","249.0"
"32.2","83","1004.8","3","96.0"
"32.4","83","1005.2","3","213.0"
"32.2","83","1005.9","3","186.0"
"31.1","86","1006.8","3","140.0"
"30.5","84","1007.7","3","11.0"
"30.8","81","1007.6","4","16.0"
"32.0","79","1007.5","4","30.0"
"32.6","82","1006.6","4","159.0"
"32.2","86","1003.1","3","421.0"
"31.2","84","1003.7","4","305.0"
"30.7","86","1002.0","2","449.0"
"31.4","84","1005.0","1","227.0"
"32.6","82","1004.0","2","176.0"
"33.4","80","1005.0","3","95.0"
"32.4","80","1006.0","3","18.0"
"31.6","82","1007.0","4","41.0"
"31.0","80","1007.0","5","1.0"
"31.1","80","1008.0","4","12.0"
"32.3","79","1008.0","4","89.0"
"33.2","77","1008.0","4","55.0"
"32.6","82","1006.0","4","361.0"
"32.0","83","1005.0","4","149.0"
"31.6","86","1004.5","4","259.0"
"32.2","84","1006.4","3","104.0"
"31.9","85","1005.0","4","314.0"
"32.5","83","1005.2","4","144.0"
"31.9","81","1006.8","4","63.0"
"30.7","82","1007.1","4","8.0"
"30.6","80","1008.5","4","13.0"
"30.9","79","1008.8","5","0.0"
"31.8","78","1009.4","5","0.0"
"34.0","75","1007.1","5","0.0"
"35.8","77","1006.2","4","95.0"
"35.8","82","1004.8","3","200.0"
"33.8","75","1003.23","2","182.2"
"33.4","78","1003.86","2","150.8"
"33.8","80","1003.87","2","273.5"
"33.6","76","1004.27","1","214.1"
"33.8","77","1004.13","2","173.6"
"32.6","76","1005.11","2","37.7"
"32.2","74","1004.88","2","13.3"
"33.4","73","1005.32","2","65.9"
"34.4","72","1004.89","2","51.50"
"33.4","77","1003.84","2","213.2"
"35.2","78","1003.51","2","281.9"
"34.0","80","1001.89","2","203.7"
"33.4","84","1001.85","2","259.0"
"32.4","81","1002.46","2","309.0"
"33.4","79","1002.82","2","173.8"
"33.2","75","1004.06","2","109.0"
"33.7","78","1003.75","2","144.5"
"33.2","81","1005.08","2","323.0"
"32.2","75","1005.31","2","0.0"
"32.8","76","1005.71","2","41.0"
"32.9","76","1005.07","2","65.0"
"34.0","74","1004.36","2","126.5"
"34.0","83","1002.51","2","291.4"
"33.5","81","1003.17","2","344.0"
"31.4","84","1003.9","4","212.0"
"31.8","86","1003.5","4","281.0"
"32.9","84","1003.4","4","213.0"
"32.8","83","1004.4","2","220.0"
"32.8","84","1004.5","2","199.0"
"31.6","86","1005.2","2","134.0"
"31.2","82","1005.8","4","10.0"
"31.4","83","1006.1","3","130.0"
"31.9","84","1006.7","4","64.0"
"31.8","87","1005.4","3","395.0"
"32.1","86","1004.7","2","431.0"
"31.5","85","1003.3","3","384.0"
